days from LH peak,E2 n,E2 mean (pmol/L),E2 mean (pg/mL),E2 median (pmol/L),E2 median (pg/mL),E2 perc 5 (pmol/L),E2 perc 5 (pg/mL),E2 perc 95 (pmol/L),E2 perc 95 (pg/mL),P n,P mean (nmol/L),P median (nmol/L),P perc 5 (nmol/L),P perc 95 (nmol/L), LH n,LH mean (IU/L),LH median (IU/L),LH perc 5 (IU/L),LH perc 95 (IU/L),FSH n,FSH mean (IU/L),FSH median (IU/L),FSH perc 5 (IU/L),FSH perc 95 (IU/L)
-15,9,118.42,32.26,139.46,37.99,57.55,15.68,194.44,52.97,9,1.66,1.27,0.32,3.75,9,2.59,2.28,0.37,5.79,9,4.44,4.59,1.95,5.86
-14,12,133.01,36.23,149.00,40.59,66.06,17.99,187.67,51.12,12,1.27,1.27,0.32,2.73,12,3.73,3.39,1.35,6.29,12,5.99,6.45,2.79,8.15
-13,14,133.17,36.28,137.63,37.49,75.20,20.48,189.34,51.58,14,1.02,0.95,0.52,1.59,15,4.10,3.47,2.35,7.36,14,6.29,6.34,4.24,7.79
-12,17,125.95,34.31,128.45,34.99,79.42,21.63,200.97,54.74,17,0.82,0.64,0.32,1.65,17,3.85,3.59,1.52,6.61,17,6.49,6.26,4.62,7.93
-11,19,134.65,36.68,130.29,35.49,82.98,22.60,196.75,53.59,19,0.74,0.64,0.32,1.30,19,4.27,3.82,2.50,7.81,19,6.87,6.61,5.50,9.01
-10,20,151.33,41.22,145.15,39.54,87.60,23.86,209.56,57.08,20,0.94,0.64,0.32,2.32,20,4.44,3.82,2.24,8.73,20,7.07,6.88,5.40,10.25
-9,20,159.48,43.44,154.14,41.99,93.40,25.44,224.68,61.20,20,0.72,0.64,0.32,1.29,20,4.46,4.26,2.43,7.39,20,6.69,6.65,5.04,8.80
-8,20,170.34,46.40,162.76,44.34,112.49,30.64,220.86,60.16,20,0.67,0.48,0.32,1.61,20,5.11,4.96,2.76,7.52,20,6.54,6.46,4.97,9.53
-7,20,195.90,53.36,196.16,53.43,124.67,33.96,267.23,72.79,20,0.73,0.64,0.32,1.30,20,5.13,4.54,3.57,7.90,20,6.74,6.63,4.66,8.59
-6,20,228.20,62.16,215.06,58.58,157.66,42.95,313.36,85.36,20,0.51,0.32,0.32,1.00,20,4.81,4.47,3.26,7.03,20,5.93,5.65,4.41,8.10
-5,20,269.07,73.29,262.22,71.43,190.47,51.88,346.76,94.46,20,0.57,0.48,0.32,1.02,20,4.42,4.18,3.11,6.68,20,5.33,5.45,4.19,7.33
-4,20,343.68,93.62,363.15,98.92,186.47,50.79,490.81,133.70,19,0.59,0.64,0.32,0.95,20,4.63,4.58,3.29,6.89,20,4.76,4.59,3.83,6.33
-3,20,477.27,130.01,485.72,132.31,241.52,65.79,803.56,218.89,20,0.51,0.32,0.32,0.97,20,5.23,5.12,3.31,7.35,20,4.61,4.35,3.55,6.62
-2,20,661.19,180.11,651.06,177.35,337.35,91.89,1153.76,314.28,20,0.59,0.64,0.32,1.27,20,7.03,7.02,4.58,9.64,20,4.33,4.32,2.95,5.71
-1,20,914.84,249.20,939.34,255.88,503.85,137.25,1517.67,413.41,20,1.02,0.95,0.62,1.62,20,12.55,12.36,6.36,19.08,20,5.26,5.15,3.20,8.56
0,20,780.76,212.68,671.06,182.80,482.00,131.30,1425.39,388.28,20,2.66,2.54,1.24,4.13,20,42.65,41.19,21.16,73.63,20,11.54,12.82,5.30,15.07
1,20,320.59,87.33,312.87,85.23,159.87,43.55,514.35,140.11,20,5.02,4.93,2.21,8.95,20,14.54,14.92,7.47,21.38,20,8.44,8.01,5.20,15.43
2,19,261.32,71.18,260.57,70.98,154.62,42.12,398.38,108.52,19,12.13,12.72,4.74,18.67,19,7.92,7.75,3.93,13.24,19,6.20,5.19,3.78,9.51
3,20,338.94,92.33,322.96,87.97,208.64,56.83,495.82,135.06,20,20.84,20.51,11.34,29.05,20,6.66,6.26,3.15,11.00,20,5.30,4.73,3.05,8.18
4,20,454.07,123.69,403.52,109.92,269.80,73.49,665.99,181.42,20,29.75,30.85,11.38,45.51,20,6.38,6.46,3.42,9.98,20,4.72,4.36,2.71,7.10
5,20,499.49,136.06,450.68,122.77,292.57,79.70,703.85,191.73,20,36.08,34.03,23.72,46.46,19,4.91,4.32,2.53,9.19,20,4.03,3.88,2.22,5.97
6,19,497.07,135.40,486.64,132.56,267.07,72.75,719.72,196.05,19,36.52,35.30,22.36,48.18,20,5.39,4.50,1.32,10.75,19,3.64,3.34,2.01,5.53
