daysfromLHpeak,E2n,E2 mean (pmol/L),E2 median (pmol/L),E2 perc 5 (pmol/L),E2 perc 95 (pmol/L),Pn,P mean (nmol/L),P median (nmol/L),P perc 5 (nmol/L),P perc 95 (nmol/L)
-15,9,118.42,139.46,57.55,194.44,9,1.66,1.27,0.32,3.75
-14,12,133.01,149.00,66.06,187.67,12,1.27,1.27,0.32,2.73
-13,14,133.17,137.63,75.20,189.34,14,1.02,0.95,0.52,1.59
-12,17,125.95,128.45,79.42,200.97,17,0.82,0.64,0.32,1.65
-11,19,134.65,130.29,82.98,196.75,19,0.74,0.64,0.32,1.30
-10,20,151.33,145.15,87.60,209.56,20,0.94,0.64,0.32,2.32
-9,20,159.48,154.14,93.40,224.68,20,0.72,0.64,0.32,1.29
-8,20,170.34,162.76,112.49,220.86,20,0.67,0.48,0.32,1.61
-7,20,195.90,196.16,124.67,267.23,20,0.73,0.64,0.32,1.30
-6,20,228.20,215.06,157.66,313.36,20,0.51,0.32,0.32,1.00
-5,20,269.07,262.22,190.47,346.76,20,0.57,0.48,0.32,1.02
-4,20,343.68,363.15,186.47,490.81,19,0.59,0.64,0.32,0.95
-3,20,477.27,485.72,241.52,803.56,20,0.51,0.32,0.32,0.97
-2,20,661.19,651.06,337.35,1153.76,20,0.59,0.64,0.32,1.27
-1,20,914.84,939.34,503.85,1517.67,20,1.02,0.95,0.62,1.62
0,20,780.76,671.06,482.00,1425.39,20,2.66,2.54,1.24,4.13
1,20,320.59,312.87,159.87,514.35,20,5.02,4.93,2.21,8.95
2,19,261.32,260.57,154.62,398.38,19,12.13,12.72,4.74,18.67
3,20,338.94,322.96,208.64,495.82,20,20.84,20.51,11.34,29.05
4,20,454.07,403.52,269.80,665.99,20,29.75,30.85,11.38,45.51
5,20,499.49,450.68,292.57,703.85,20,36.08,34.03,23.72,46.46
6,19,497.07,486.64,267.07,719.72,19,36.52,35.30,22.36,48.18
7,20,531.14,551.78,291.71,695.47,20,40.32,42.45,25.98,54.17
8,20,504.39,491.23,281.91,718.20,20,39.65,37.05,25.06,60.39
9,20,499.18,503.52,279.18,764.41,20,33.76,32.44,18.25,46.65
10,19,526.68,495.45,294.48,806.70,19,34.11,32.75,17.74,55.94
11,20,350.65,340.41,210.22,640.16,20,18.24,14.47,6.74,38.21
12,20,322.24,314.52,174.82,546.15,20,16.90,13.04,3.67,41.58
13,16,229.70,170.10,101.93,497.74,16,10.73,5.25,2.15,33.15
14,8,249.28,151.20,93.97,693.54,9,9.50,4.13,1.91,33.39
