days from LH peak, LH n,LH mean (IU/L),LH median (IU/L),LH perc 5 (IU/L),LH perc 95 (IU/L),FSH n,FSH mean (IU/L),FSH median (IU/L),FSH perc 5 (IU/L), FSH perc 95 (IU/L)
-15,9,2.59,2.28,0.37,5.79,9,4.44,4.59,1.95,5.86
-14,12,3.73,3.39,1.35,6.29,12,5.99,6.45,2.79,8.15
-13,15,4.10,3.47,2.35,7.36,14,6.29,6.34,4.24,7.79
-12,17,3.85,3.59,1.52,6.61,17,6.49,6.26,4.62,7.93
-11,19,4.27,3.82,2.50,7.81,19,6.87,6.61,5.50,9.01
-10,20,4.44,3.82,2.24,8.73,20,7.07,6.88,5.40,10.25
-9,20,4.46,4.26,2.43,7.39,20,6.69,6.65,5.04,8.80
-8,20,5.11,4.96,2.76,7.52,20,6.54,6.46,4.97,9.53
-7,20,5.13,4.54,3.57,7.90,20,6.74,6.63,4.66,8.59
-6,20,4.81,4.47,3.26,7.03,20,5.93,5.65,4.41,8.10
-5,20,4.42,4.18,3.11,6.68,20,5.33,5.45,4.19,7.33
-4,20,4.63,4.58,3.29,6.89,20,4.76,4.59,3.83,6.33
-3,20,5.23,5.12,3.31,7.35,20,4.61,4.35,3.55,6.62
-2,20,7.03,7.02,4.58,9.64,20,4.33,4.32,2.95,5.71
-1,20,12.55,12.36,6.36,19.08,20,5.26,5.15,3.20,8.56
0,20,42.65,41.19,21.16,73.63,20,11.54,12.82,5.30,15.07
1,20,14.54,14.92,7.47,21.38,20,8.44,8.01,5.20,15.43
2,19,7.92,7.75,3.93,13.24,19,6.20,5.19,3.78,9.51
3,20,6.66,6.26,3.15,11.00,20,5.30,4.73,3.05,8.18
4,20,6.38,6.46,3.42,9.98,20,4.72,4.36,2.71,7.10
5,19,4.91,4.32,2.53,9.19,20,4.03,3.88,2.22,5.97
6,20,5.39,4.50,1.32,10.75,19,3.64,3.34,2.01,5.53
7,20,4.14,4.29,1.04,7.20,20,3.24,3.31,1.47,5.34
8,20,3.87,3.89,1.58,5.90,20,2.97,2.97,1.53,4.88
9,20,3.19,3.07,0.73,6.51,20,2.58,2.73,1.26,4.09
10,19,2.63,1.75,0.97,6.34,19,2.40,2.55,1.12,3.57
11,20,2.85,2.52,0.49,6.05,20,2.42,2.54,1.09,3.26
12,20,3.59,3.42,0.42,7.29,20,2.84,3.08,1.13,4.37
13,16,3.13,2.55,1.19,6.05,16,3.94,3.73,1.55,7.58
14,9,3.11,3.23,0.85,6.20,8,3.80,3.81,1.54,5.78
